"서울특별시 강남구 논현동 152번지 외 4필지 152-1 2 3 4","엘리에나호텔","37.5111","127.031"
"서울특별시 마포구 망원동 405-27","Alveolus(앨비어러스)","37.5547","126.904"
"서울특별시 서초구 서초동 1594-3번지 ","센트로관광호텔","37.4865","127.014"
"서울특별시 강남구 역삼동 628-12번지 호텔 세느 ","호텔 세느","37.504","127.035"
"서울특별시 강남구 신사동 587-21번지 ","포포인츠바이쉐라톤서울강남","37.5202","127.029"
"서울특별시 강남구 역삼동 723-3번지 ","오월호텔","37.5006","127.041"
"서울특별시 강남구 청담동 48-3번지 ","호텔 엔트라","37.524","127.048"
"서울특별시 강남구 개포동 1229-8번지 ","호텔 컬리넌 개포","37.4768","127.046"
"서울특별시 강남구 삼성동 142-41","(주)호텔롯데 L7 강남","37.5057","127.052"
"서울특별시 강남구 논현동 6 6-1","영동관광호텔","37.518","127.025"
"서울특별시 중구 남산동2가 43-7","올리브 호스텔","37.5583","126.985"
"서울특별시 서초구 서초동 1605-3 프랜드호텔","주식회사 프렌드호텔","37.4868","127.022"
"서울특별시 서초구 반포동 19-3","JW메리어트호텔 서울","37.5041","127.003"
"서울특별시 용산구 갈월동 98-14","호텔 엘르인","37.5403","126.972"
"서울특별시 관악구 신림동 1421-47","신트라(SINTRA) 호텔","37.4853","126.931"
"서울특별시 구로구 신도림동 692","쉐라톤 서울 디큐브시티 호텔","37.5084","126.889"
"서울특별시 마포구 합정동 379-4 주니비노 호텔","주니비노호텔","37.5479","126.911"
"서울특별시 중구 남대문로2가 9-1","스탠포드호텔 명동","37.5646","126.983"
"서울특별시 구로구 가리봉동 135-90","골드 마운틴77","37.4796","126.892"
"서울특별시 강남구 역삼동 603-1","도미인 서울 강남","37.5056","127.029"
"서울특별시 강남구 논현동 60-8","에이든 청담호텔","37.52","127.03"
"서울특별시 중구 저동2가 48-27","G2 호텔","37.5633","126.99"
"서울특별시 송파구 방이동 36-2","호텔 더 캐슬(방이2)","37.5153","127.109"
"서울특별시 강남구 삼성동 158번지 ","호텔 유리앤","37.5089","127.058"
"서울특별시 강남구 역삼동 719-20번지 ","카파스 호텔","37.5015","127.041"
"서울특별시 강남구 역삼동 678-13번지 ","호텔 디 아티스트 역삼","37.5024","127.038"
"서울특별시 영등포구 양평동3가 30-3번지","서울H","37.5266","126.885"
"서울특별시 서대문구 창천동 29-56","호텔 밀하우스","37.5563","126.938"
"서울특별시 서대문구 창천동 18-81","신촌라싸 관광호텔","37.5561","126.937"
"서울특별시 서대문구 미근동 333","신라스테이서대문","37.5634","126.968"
"서울특별시 서대문구 대현동 104-5 신촌푸르지오시티","신촌 EVER8 레지던스 호텔","37.5574","126.943"
"서울특별시 서대문구 홍은동 201-1 스위스그랜드호텔","스위스그랜드호텔서울","37.5888","126.935"
"서울특별시 서대문구 대현동 101-17 6층","궁전호스텔","37.5569","126.943"
"서울특별시 강남구 역삼동 823-43번지 ","호텔 소울하다","37.4987","127.033"
